id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
1,Bitcoin,BTC,bitcoin,9600,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19085737.0,19085737.0,,1,,,,2022-07-05T13:18:00.000Z,19400.534612986674,24901357951.67641,33.8808,-0.56741804,-1.63487258,-7.46537,-34.74962466,-46.02585759,-56.78340303,370273501282.8604,42.1452,407411226872.72,,2022-07-05T13:18:00.000Z,,,,,
1027,Ethereum,ETH,ethereum,5802,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121421087.1865,121421087.1865,,2,,,,2022-07-05T13:17:00.000Z,1099.2342444935532,15115502872.75406,45.8572,-0.96081225,-0.68162605,-10.08502713,-38.60538993,-59.11833401,-66.82492452,133470217039.03818,15.1878,133470217039.04,,2022-07-05T13:17:00.000Z,,,,,
825,Tether,USDT,tether,35632,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,66043540012.301575,68160365339.24537,,3,,,,2022-07-05T13:17:00.000Z,0.999075195990117,44521301324.26641,37.3465,-0.00428669,-0.00429798,0.01030561,-0.01711119,-0.10080073,-0.12971442,65982462681.671326,7.5103,68097330360.06,,2022-07-05T13:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7
3408,USD Coin,USDC,usd-coin,4756,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,55802605112.71548,55802605112.71548,,4,,,,2022-07-05T13:17:00.000Z,1.0004121590234458,5872713369.600365,43.4543,0.01352407,0.02898459,0.02906568,0.00326435,0.06832011,0.12152534,55825604659.944466,6.3542,55825604659.94,,2022-07-05T13:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
1839,BNB,BNB,bnb,988,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,5,,,,2022-07-05T13:17:00.000Z,224.1994490530659,1259508022.1022847,53.6706,-0.79455656,-0.11752389,-6.18666444,-24.5396581,-40.55869078,-48.61906881,36606607755.09742,4.1666,37019086621.43,,2022-07-05T13:17:00.000Z,,,,,
4687,Binance USD,BUSD,binance-usd,3966,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17547224379.459255,17547224379.459255,,6,,,,2022-07-05T13:17:00.000Z,1.0003756694264088,4733220113.480063,17.439,-0.00864993,-0.20248873,-0.20684952,-0.00842112,-0.05662876,0.12352284,17553816335.176952,1.9979,17553816335.18,,2022-07-05T13:17:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1
52,XRP,XRP,xrp,750,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,7,,,,2022-07-05T13:18:00.000Z,0.316115354881598,1047582659.3031124,7.5244,-0.51801517,-1.99465147,-9.51729727,-19.74175853,-47.28804919,-60.30598632,15281996590.96666,1.7388,31611535488.16,,2022-07-05T13:18:00.000Z,,,,,
2010,Cardano,ADA,cardano,505,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33934048405.593,34277702081.605,,8,,,,2022-07-05T13:17:00.000Z,0.44894741915134884,815055597.1151038,38.735,-0.36320836,-3.84594655,-8.20829861,-19.9426242,-42.70092187,-59.63189724,15234603453.04792,1.7336,20202633861.81,,2022-07-05T13:17:00.000Z,,,,,
5426,Solana,SOL,solana,345,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,343145144.7357142,511616946.142289,,9,,,,2022-07-05T13:17:00.000Z,33.52147411160562,1391313003.9962375,87.9692,-0.97841532,-2.32694644,-14.38076764,-14.6215793,-59.00661706,-72.65113565,11502731085.781406,1.3092,17150154215.17,,2022-07-05T13:17:00.000Z,,,,,
74,Dogecoin,DOGE,dogecoin,496,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-07-05T13:18:00.000Z,0.06592964798901545,378174365.3937432,11.932,-0.53367022,-3.04908325,-8.07631537,-19.30082658,-48.09389224,-57.01484531,8746936788.725655,0.9956,8746936788.73,,2022-07-05T13:18:00.000Z,,,,,
