kind,domain,title,published_at,slug,currencies,id,url,created_at,votes.negative,votes.positive,votes.important,votes.liked,votes.disliked,votes.lol,votes.toxic,votes.saved,votes.comments,source.title,source.region,source.domain,source.path
news,cryptoglobe.com,"Bitcoin ($BTC) Price on Track for Largest Weekly Gain in 9 Months, Data Shows",2022-07-09T02:23:00Z,Bitcoin-BTC-Price-on-Track-for-Largest-Weekly-Gain-in-9-Months-Data-Shows,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15716642,https://cryptopanic.com/news/15716642/Bitcoin-BTC-Price-on-Track-for-Largest-Weekly-Gain-in-9-Months-Data-Shows,2022-07-09T02:23:00Z,1,1,0,0,0,0,0,0,0,CryptoGlobe,en,cryptoglobe.com,
news,cointelegraph.com,Deconstructing sidechains — The future of Web3 scalability,2022-07-09T02:17:00Z,Deconstructing-sidechains-The-future-of-Web3-scalability,,15716627,https://cryptopanic.com/news/15716627/Deconstructing-sidechains-The-future-of-Web3-scalability,2022-07-09T02:17:00Z,0,0,0,0,0,0,0,0,0,CoinTelegraph,en,cointelegraph.com,
news,ambcrypto.com,"Ethereum [ETH]’s bearish pressure may subside in short-term, but can the bulls defend the alt in the long run?",2022-07-09T02:00:14Z,Ethereum-ETHs-bearish-pressure-may-subside-in-short-term-but-can-the-bulls-defend-the-alt-in-the-long-run,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",15716616,https://cryptopanic.com/news/15716616/Ethereum-ETHs-bearish-pressure-may-subside-in-short-term-but-can-the-bulls-defend-the-alt-in-the-long-run,2022-07-09T02:00:14Z,1,0,0,0,0,0,0,0,0,AMBCrypto,en,ambcrypto.com,
news,bitcoinist.com,Investors Duped In Major Crypto Scam In India,2022-07-09T01:00:57Z,Investors-Duped-In-Major-Crypto-Scam-In-India,,15716548,https://cryptopanic.com/news/15716548/Investors-Duped-In-Major-Crypto-Scam-In-India,2022-07-09T01:00:57Z,0,0,0,0,0,0,0,0,0,Bitcoinist,en,bitcoinist.com,
news,cryptopotato.com,Solana Labs Accused of Selling Unregistered Securities in New Lawsuit,2022-07-09T00:54:53Z,Solana-Labs-Accused-of-Selling-Unregistered-Securities-in-New-Lawsuit,"[{'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",15716532,https://cryptopanic.com/news/15716532/Solana-Labs-Accused-of-Selling-Unregistered-Securities-in-New-Lawsuit,2022-07-09T00:54:53Z,1,1,1,1,0,1,0,0,0,Feed - Cryptopotato.Com,en,cryptopotato.com,
news,cryptoglobe.com,"Bitcoin ($BTC) Price Could Explode to Over 400% to $110,000 After Next Halving, Crypto Analyst Says",2022-07-09T00:20:00Z,Bitcoin-BTC-Price-Could-Explode-to-Over-400-to-110000-After-Next-Halving-Crypto-Analyst-Says,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15716420,https://cryptopanic.com/news/15716420/Bitcoin-BTC-Price-Could-Explode-to-Over-400-to-110000-After-Next-Halving-Crypto-Analyst-Says,2022-07-09T00:20:00Z,1,3,0,1,0,0,0,3,0,CryptoGlobe,en,cryptoglobe.com,
news,cryptonews.com,"Stop Your Crypto Operations in Russia, Washington Tells Japanese Exchanges & Miners",2022-07-09T00:00:00Z,Stop-Your-Crypto-Operations-in-Russia-Washington-Tells-Japanese-Exchanges-Miners,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15716380,https://cryptopanic.com/news/15716380/Stop-Your-Crypto-Operations-in-Russia-Washington-Tells-Japanese-Exchanges-Miners,2022-07-09T00:00:00Z,1,0,0,0,1,1,0,0,0,Cryptonews,en,cryptonews.com,
news,bitcoinist.com,"The New York Times’ Latest Attack On El Salvador And BTC Won’t Age Well, Pt. 2",2022-07-08T23:45:53Z,The-New-York-Times-Latest-Attack-On-El-Salvador-And-BTC-Wont-Age-Well-Pt-2,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15716350,https://cryptopanic.com/news/15716350/The-New-York-Times-Latest-Attack-On-El-Salvador-And-BTC-Wont-Age-Well-Pt-2,2022-07-08T23:45:53Z,0,0,0,1,0,0,0,1,0,Bitcoinist,en,bitcoinist.com,
news,cryptobriefing.com,Scrutiny Intensifies on Voyager and Celsius,2022-07-08T23:27:51Z,Scrutiny-Intensifies-on-Voyager-and-Celsius,,15716330,https://cryptopanic.com/news/15716330/Scrutiny-Intensifies-on-Voyager-and-Celsius,2022-07-08T23:27:51Z,0,0,0,0,0,0,0,0,0,CryptoBriefing,en,cryptobriefing.com,
news,bitcoinist.com,"DeFi Protocols At Higher Risk Of Exploit During The Bear Market, Here’s Why",2022-07-08T23:00:34Z,DeFi-Protocols-At-Higher-Risk-Of-Exploit-During-The-Bear-Market-Heres-Why,,15716299,https://cryptopanic.com/news/15716299/DeFi-Protocols-At-Higher-Risk-Of-Exploit-During-The-Bear-Market-Heres-Why,2022-07-08T23:00:34Z,0,0,0,0,0,0,0,0,1,Bitcoinist,en,bitcoinist.com,
news,cointelegraph.com,BREAKING: Elon Musk wants to terminate the $44B Twitter takeover,2022-07-08T22:51:52Z,BREAKING-Elon-Musk-wants-to-terminate-the-44B-Twitter-takeover,,15716275,https://cryptopanic.com/news/15716275/BREAKING-Elon-Musk-wants-to-terminate-the-44B-Twitter-takeover,2022-07-08T22:51:52Z,1,0,0,0,0,0,0,0,2,CoinTelegraph,en,cointelegraph.com,
news,blockworks.co,"With Litigation Likely, Venture Fund DeFiance Takes Aim at Three Arrows Capital",2022-07-08T22:51:16Z,With-Litigation-Likely-Venture-Fund-DeFiance-Takes-Aim-at-Three-Arrows-Capital,,15716262,https://cryptopanic.com/news/15716262/With-Litigation-Likely-Venture-Fund-DeFiance-Takes-Aim-at-Three-Arrows-Capital,2022-07-08T22:51:16Z,0,0,0,0,0,0,0,0,0,Blockworks,en,blockworks.co,
news,decrypt.co,"After Bitcoin Wash Trading Surges on Binance, CEO Nixes Incentives",2022-07-08T22:40:14Z,After-Bitcoin-Wash-Trading-Surges-on-Binance-CEO-Nixes-Incentives,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15716258,https://cryptopanic.com/news/15716258/After-Bitcoin-Wash-Trading-Surges-on-Binance-CEO-Nixes-Incentives,2022-07-08T22:40:14Z,0,0,0,0,0,0,0,0,0,Decrypt,en,decrypt.co,
news,cryptopotato.com,Elon Musk Terminates Deal to Buy Twitter,2022-07-08T22:18:58Z,Elon-Musk-Terminates-Deal-to-Buy-Twitter,,15716214,https://cryptopanic.com/news/15716214/Elon-Musk-Terminates-Deal-to-Buy-Twitter,2022-07-08T22:18:58Z,3,1,1,0,0,1,0,0,0,Feed - Cryptopotato.Com,en,cryptopotato.com,
news,blockworks.co,"Market Wrap: Bitcoin Rally Continues With Rise to $22,000",2022-07-08T22:14:42Z,Market-Wrap-Bitcoin-Rally-Continues-With-Rise-to-22000,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15716207,https://cryptopanic.com/news/15716207/Market-Wrap-Bitcoin-Rally-Continues-With-Rise-to-22000,2022-07-08T22:14:42Z,1,0,0,0,0,0,0,0,0,Blockworks,en,blockworks.co,
news,theblockcrypto.com,Elon Musk aims to terminate $44 billion Twitter deal,2022-07-08T22:09:40Z,Elon-Musk-aims-to-terminate-44-billion-Twitter-deal,,15716190,https://cryptopanic.com/news/15716190/Elon-Musk-aims-to-terminate-44-billion-Twitter-deal,2022-07-08T22:09:40Z,2,0,0,0,0,0,0,0,1,The Block,en,theblockcrypto.com,
news,cryptoglobe.com,Cardano: Ledger Live’s iOS App Adds $ADA Account Support,2022-07-08T22:07:00Z,Cardano-Ledger-Lives-iOS-App-Adds-ADA-Account-Support,"[{'code': 'ADA', 'title': 'Cardano', 'slug': 'cardano', 'url': 'https://cryptopanic.com/news/cardano/'}]",15716213,https://cryptopanic.com/news/15716213/Cardano-Ledger-Lives-iOS-App-Adds-ADA-Account-Support,2022-07-08T22:07:00Z,0,7,5,6,0,0,0,1,1,CryptoGlobe,en,cryptoglobe.com,
news,dailyhodl.com,"Trader Predicts What’s Next for a Leading Ethereum Rival Solana, Updates Stance on Polygon and Bitcoin",2022-07-08T22:05:54Z,Trader-Predicts-Whats-Next-for-a-Leading-Ethereum-Rival-Solana-Updates-Stance-on-Polygon-and-Bitcoin,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}, {'code': 'MATIC', 'title': 'Polygon', 'slug': 'matic-network', 'url': 'https://cryptopanic.com/news/matic-network/'}]",15716191,https://cryptopanic.com/news/15716191/Trader-Predicts-Whats-Next-for-a-Leading-Ethereum-Rival-Solana-Updates-Stance-on-Polygon-and-Bitcoin,2022-07-08T22:05:54Z,0,1,1,1,0,0,0,0,0,The Daily Hodl,en,dailyhodl.com,
news,bitcoinist.com,"Why Ethereum Is “Obviously A Security”, Says Bitcoin Bull Michael Saylor",2022-07-08T22:00:00Z,Why-Ethereum-Is-Obviously-A-Security-Says-Bitcoin-Bull-Michael-Saylor,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",15716186,https://cryptopanic.com/news/15716186/Why-Ethereum-Is-Obviously-A-Security-Says-Bitcoin-Bull-Michael-Saylor,2022-07-08T22:00:00Z,0,1,1,2,0,0,0,0,0,Bitcoinist,en,bitcoinist.com,
news,cointelegraph.com,2 key Ethereum derivatives metrics suggest that $880 was ETH’s bottom,2022-07-08T21:51:28Z,2-key-Ethereum-derivatives-metrics-suggest-that-880-was-ETHs-bottom,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'MATIC', 'title': 'Polygon', 'slug': 'matic-network', 'url': 'https://cryptopanic.com/news/matic-network/'}]",15716164,https://cryptopanic.com/news/15716164/2-key-Ethereum-derivatives-metrics-suggest-that-880-was-ETHs-bottom,2022-07-08T21:51:28Z,1,1,0,0,0,0,0,1,0,CoinTelegraph,en,cointelegraph.com,
