blockchain,symbol,id,transaction_type,hash,from,to,timestamp,amount,amount_usd,transaction_count
ethereum,USDT,1847788467,transfer,1479cf01c72d7c0505f660b391749d760d00169f70a9068a2d8a8a5badf39482,"{'address': '3a3bbaf78361a8510cc2a4c1776d501011f677d9', 'owner_type': 'unknown', 'owner': ''}","{'address': '3cd751e6b0078be393132286c442345e5dc49699', 'owner': 'coinbase', 'owner_type': 'exchange'}",1653236568,600197.2,600197.2,1
bitcoin,BTC,1847792113,transfer,Multiple Hashes,"{'address': 'Multiple Addresses', 'owner_type': 'unknown', 'owner': ''}","{'address': 'Multiple Addresses', 'owner_type': 'unknown', 'owner': ''}",1653236580,59.91859,1787776.5,9086
bitcoin,BTC,1847788646,transfer,d0a5b596c723f50af452bdc32868601ccb3f5db9ee6dcefa56eed99aed25e8f6,"{'address': 'bc1qme323mt3ms5s8j8s5mgg3zemxganglvuz4jrvt', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1qvc0f4af7875ptwyz892wtmf3g4xxgh5tx8xejx', 'owner_type': 'unknown', 'owner': ''}",1653236594,172.19762,5130578.5,1
bitcoin,BTC,1847788711,transfer,3a21d71ea8a72eeed475985f5012e5cfaf2e18dcc2cfb3b36f9b61769e79284f,"{'address': 'Multiple Addresses', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1q5vlsagpmd0e40ynygudwkwh6m7krtydn2a3acz7k53up70vh7vjst054tt', 'owner_type': 'unknown', 'owner': ''}",1653236594,62.73912,1869294.0,1
bitcoin,BTC,1847788748,transfer,4cab594a56d3afa1bea5ef6a5a290a66d837bed0f2935ba05b6b122011a71f2e,"{'address': '13XvRr9VZqNSZRkYuKGX3P5ojAir2BWvH3', 'owner': 'binance', 'owner_type': 'exchange'}","{'address': '17bxTaeN6NHSVP5FssGajHQ2g3bhpkxfLZ', 'owner': 'binance', 'owner_type': 'exchange'}",1653236594,54.73144,1630707.6,1
bitcoin,BTC,1847788751,transfer,444f9ae6fd67a271a6ea91a929808a6cbd3320daa30374ac0f5dfa437736ccb1,"{'address': '1Mxazes34wqgGdY4o9tARAokJzmcDWurYF', 'owner': 'binance', 'owner_type': 'exchange'}","{'address': 'bc1q2rzmv7pmdwmee9taxkf2f5u9yczd2lpvwtq2un', 'owner_type': 'unknown', 'owner': ''}",1653236594,21.143436,629962.6,1
bitcoin,BTC,1847788756,transfer,715f49bd09c691b4e922bb9755d15209e9f43201fa9e59c3de59f4bc0d118787,"{'address': '1Au6T3MTYMFYgXXfqQrjGKPd27R75Aztfu', 'owner': 'binance', 'owner_type': 'exchange'}","{'address': '38Vj7PQaQ7yBF3nAN2AgBVcSriEKQiWXNw', 'owner': 'binance', 'owner_type': 'exchange'}",1653236594,60.0,1787682.8,1
bitcoin,BTC,1847788757,transfer,715f49bd09c691b4e922bb9755d15209e9f43201fa9e59c3de59f4bc0d118787,"{'address': '1Au6T3MTYMFYgXXfqQrjGKPd27R75Aztfu', 'owner': 'binance', 'owner_type': 'exchange'}","{'address': '1JUVXKCpKVKySRSyAky7bkB6UmkcGtWmeG', 'owner_type': 'unknown', 'owner': ''}",1653236594,58.822697,1752605.2,1
bitcoin,BTC,1847788812,transfer,501c2932d8f98e628c53bc611face0926b63f83ec460081b39d6dee8e9a5c04e,"{'address': '17cwWT84KFoSjW19GByKNhD8dCUqtPRC7U', 'owner_type': 'unknown', 'owner': ''}","{'address': '37scWZavSGPPzWYJyEgj5JxrviqoTHVsD1', 'owner': 'binance', 'owner_type': 'exchange'}",1653236594,94.0,2800703.0,1
bitcoin,BTC,1847788814,transfer,6b23f6c167fbe0f7e869154545949e2c9d804da06586bacd39b31cf7ab7b8c65,"{'address': 'bc1qrt4lhky8y4vc3a8qh9tkml8dhlr66unscslpjf', 'owner': 'bitbank', 'owner_type': 'other'}","{'address': 'bc1qxv9vek0xts9ktv0l06a6stsx404cps9n4dsew8', 'owner': 'bitbank', 'owner_type': 'other'}",1653236594,172.30988,5133923.0,1
bitcoin,BTC,1847788816,transfer,c3bd5a30e1f569672197eaaace626a8aa0ab22c7c5f097e309cb8a8f33b7c22b,"{'address': 'bc1qxv9vek0xts9ktv0l06a6stsx404cps9n4dsew8', 'owner': 'bitbank', 'owner_type': 'other'}","{'address': 'bc1qstpzhd7ydxd8qx007yyazgahww3zju6s7y4ere', 'owner': 'bitbank', 'owner_type': 'other'}",1653236594,171.78375,5118247.0,1
bitcoin,BTC,1847788851,transfer,f7a5dc7a349c7014967ba49c055a51f902cf9c9f4d46cffb2b6d6d938b5ddc3f,"{'address': 'bc1qgxsejltz9uhvq6re0dwg5rsc0eaajl6kuc34kq', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1q585j9fjlflnqy9lsj6c76aq8s7v49nxkclss57', 'owner_type': 'unknown', 'owner': ''}",1653236594,21.311024,634955.8,1
bitcoin,BTC,1847788982,transfer,c7f8dbd27fd881412f9955ed37028131f03da1c5c3e50abf6a51e4ebcbcc8b50,"{'address': 'bc1qng0keqn7cq6p8qdt4rjnzdxrygnzq7nd0pju8q', 'owner_type': 'unknown', 'owner': ''}","{'address': '1BKN5obhkdoequshHnn96zZvFi3wCEdfiC', 'owner': 'binance', 'owner_type': 'exchange'}",1653236594,19.9996,595882.3,1
