kind,domain,title,published_at,slug,id,url,created_at,source.title,source.region,source.domain,source.path,votes.negative,votes.positive,votes.important,votes.liked,votes.disliked,votes.lol,votes.toxic,votes.saved,votes.comments,currencies
news,cointelegraph.com,Nifty News: Are Tai Lopez NFTs the market top? Alibaba massage gun scandal... and more,2022-03-10T02:35:17Z,Nifty-News-Are-Tai-Lopez-NFTs-the-market-top-Alibaba-massage-gun-scandal-and-more,14524265,https://cryptopanic.com/news/14524265/Nifty-News-Are-Tai-Lopez-NFTs-the-market-top-Alibaba-massage-gun-scandal-and-more,2022-03-10T02:35:17Z,CoinTelegraph,en,cointelegraph.com,,0,0,0,0,0,0,0,0,0,
news,bitcoinmagazine.com,The Perils Of Centralized Platform And Why Bitcoin Decentralization Matters,2022-03-10T02:30:00Z,The-Perils-Of-Centralized-Platform-And-Why-Bitcoin-Decentralization-Matters,14524244,https://cryptopanic.com/news/14524244/The-Perils-Of-Centralized-Platform-And-Why-Bitcoin-Decentralization-Matters,2022-03-10T02:30:00Z,Bitcoin Magazine,en,bitcoinmagazine.com,,0,0,0,0,0,0,0,0,0,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]"
news,cointelegraph.com,Binance unveils plans for world domination by buying up companies in every sector,2022-03-10T02:22:23Z,Binance-unveils-plans-for-world-domination-by-buying-up-companies-in-every-sector,14524246,https://cryptopanic.com/news/14524246/Binance-unveils-plans-for-world-domination-by-buying-up-companies-in-every-sector,2022-03-10T02:22:23Z,CoinTelegraph,en,cointelegraph.com,,0,1,0,1,0,0,0,0,0,
news,beincrypto.com,Hacking Incidents and Bitcoin Price: No Effect Until 5 Days Later,2022-03-10T01:43:01Z,Hacking-Incidents-and-Bitcoin-Price-No-Effect-Until-5-Days-Later,14524193,https://cryptopanic.com/news/14524193/Hacking-Incidents-and-Bitcoin-Price-No-Effect-Until-5-Days-Later,2022-03-10T01:43:01Z,BeInCrypto,en,beincrypto.com,,0,0,1,0,0,0,0,0,0,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]"
news,cryptoglobe.com,Number of Long-Term Cardano ($ADA) Holders Grew 32% in February: CryptoCompare Report,2022-03-10T01:20:00Z,Number-of-Long-Term-Cardano-ADA-Holders-Grew-32-in-February-CryptoCompare-Report,14524156,https://cryptopanic.com/news/14524156/Number-of-Long-Term-Cardano-ADA-Holders-Grew-32-in-February-CryptoCompare-Report,2022-03-10T01:20:00Z,CryptoGlobe,en,cryptoglobe.com,,0,1,1,1,0,0,0,0,2,"[{'code': 'ADA', 'title': 'Cardano', 'slug': 'cardano', 'url': 'https://cryptopanic.com/news/cardano/'}]"
news,coindesk.com,GameFi Is a New Game for Southeast Asia Players,2022-03-10T01:00:00Z,GameFi-Is-a-New-Game-for-Southeast-Asia-Players,14524126,https://cryptopanic.com/news/14524126/GameFi-Is-a-New-Game-for-Southeast-Asia-Players,2022-03-10T01:00:00Z,CoinDesk,en,coindesk.com,,0,1,0,0,0,0,0,0,0,
news,beincrypto.com,New Crypto Framework in Dubai Could Position It as the Region’s Leader,2022-03-10T01:00:00Z,New-Crypto-Framework-in-Dubai-Could-Position-It-as-the-Regions-Leader,14524149,https://cryptopanic.com/news/14524149/New-Crypto-Framework-in-Dubai-Could-Position-It-as-the-Regions-Leader,2022-03-10T01:00:00Z,BeInCrypto,en,beincrypto.com,,1,0,0,0,0,0,0,0,0,
news,bravenewcoin.com,Aera Force - addressing the climate and ecology crisis,2022-03-10T01:00:00Z,Aera-Force-addressing-the-climate-and-ecology-crisis,14524264,https://cryptopanic.com/news/14524264/Aera-Force-addressing-the-climate-and-ecology-crisis,2022-03-10T01:00:00Z,Brave New Coin,en,bravenewcoin.com,,0,0,0,0,0,0,0,0,0,
news,newsbtc.com,"Solana Poised For Triple Digits, Support Set At $80",2022-03-10T00:42:08Z,Solana-Poised-For-Triple-Digits-Support-Set-At-80,14524094,https://cryptopanic.com/news/14524094/Solana-Poised-For-Triple-Digits-Support-Set-At-80,2022-03-10T00:42:08Z,NewsBTC,en,newsbtc.com,,1,1,0,0,1,0,0,0,0,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}, {'code': 'FLOW', 'title': 'Flower Solana', 'slug': 'flower-solana', 'url': 'https://cryptopanic.com/news/flower-solana/'}]"
news,cointelegraph.com,Softer-than-expected crypto regulation and stocks’ rebound position Bitcoin for a $42K close,2022-03-10T00:30:00Z,Softer-than-expected-crypto-regulation-and-stocks-rebound-position-Bitcoin-for-a-42K-close,14524054,https://cryptopanic.com/news/14524054/Softer-than-expected-crypto-regulation-and-stocks-rebound-position-Bitcoin-for-a-42K-close,2022-03-10T00:30:00Z,CoinTelegraph,en,cointelegraph.com,,0,1,0,0,0,0,0,0,0,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]"
news,cryptoninjas.net,ClearSoftware teams with Zellim in launch of DAO productivity & communications platform,2022-03-10T00:25:34Z,ClearSoftware-teams-with-Zellim-in-launch-of-DAO-productivity-communications-platform,14524058,https://cryptopanic.com/news/14524058/ClearSoftware-teams-with-Zellim-in-launch-of-DAO-productivity-communications-platform,2022-03-10T00:25:34Z,CryptoNinjas,en,cryptoninjas.net,,0,0,0,0,0,0,0,0,0,
news,coindesk.com,"JustCarbon, Likvidi Launch Blockchain Markets for Carbon Credits",2022-03-10T00:01:00Z,JustCarbon-Likvidi-Launch-Blockchain-Markets-for-Carbon-Credits,14524015,https://cryptopanic.com/news/14524015/JustCarbon-Likvidi-Launch-Blockchain-Markets-for-Carbon-Credits,2022-03-10T00:01:00Z,CoinDesk,en,coindesk.com,,0,0,0,1,0,0,0,0,0,
