,Returns,Volatility
A,0.2781255647432934,0.269968070313374
AAL,-0.007481924919440503,0.6025640588604859
AAP,0.057507783300536186,0.36963023269231354
AAPL,0.4088552916186104,0.31645469239421226
ABBV,0.22262631823915094,0.29447586121771885
ABC,0.1180702293660346,0.3190077274898316
ABMD,0.3515536559736128,0.43018970040989246
ABT,0.32205982028053065,0.2561782824882484
ACN,0.23581714912403817,0.2599391734987514
ADBE,0.4167670510548184,0.33713131222722714
ADI,0.26210590115228616,0.33523510524489153
ADM,0.11552997022927172,0.26046393856192906
ADP,0.18624790997905263,0.28114411047091264
ADSK,0.3855438535987551,0.3870016424992567
AEE,0.12958088013241242,0.2512844205052699
AEP,0.10328746620105973,0.22776051674511535
AES,0.3007545468856836,0.35603055346743906
AFL,0.15134049892547913,0.3189694046458451
AIG,0.013855303496902078,0.40007502843200493
AIZ,0.1331953923768594,0.2998890089332342
AJG,0.25082435685067583,0.24223317142494247
AKAM,0.13413118866683066,0.32477001719616344
ALB,0.24504650362620028,0.4233410862600573
ALGN,0.5584714048240245,0.5146808749324212
ALK,0.05281036330881649,0.46858688770267604
ALL,0.14022557151856554,0.259100696961002
ALLE,0.1766395484219224,0.2871190915149504
ALXN,0.12752425831850692,0.3908207628090819
AMAT,0.4223129137710757,0.42747586906037616
AMCR,0.10003843019208318,0.29357176432005344
AMD,0.654608521976065,0.5856962845537964
AME,0.2574628638432564,0.28084217130479255
AMGN,0.15981456082622741,0.2612030112544907
AMP,0.2736145441200686,0.4068938910460021
AMT,0.22687869742705905,0.2696288986868417
AMZN,0.3872837678901215,0.30489375487736387
ANET,0.35788223516855133,0.44926376294120574
ANSS,0.36245508833505224,0.31524261818860283
ANTM,0.25203242447928625,0.3429111245538696
AON,0.21309595720926244,0.24824519865373015
AOS,0.10915489435368873,0.2785684580082854
APA,0.009174085763620141,0.7046363701288352
APD,0.1994583197124463,0.27046480659347544
APH,0.19360449060948418,0.2593411348964359
APTV,0.3402848158470737,0.43476534363631075
ARE,0.14908576129855636,0.25568277228009173
ATO,0.08315081575250828,0.24474386392132388
ATVI,0.3017045852313098,0.3576254833549832
AVB,0.0724023397814873,0.2838647996973955
AVGO,0.336534821173542,0.36320124227315925
AVY,0.28587200500660137,0.3058170901958602
AWK,0.2137882194602172,0.253248633028188
AXP,0.22015133595511596,0.35852723441992834
AZO,0.13813998520382645,0.29995147980751774
BA,0.2122890372700553,0.4927307418508172
BAC,0.18681216763387243,0.3540969890696992
BAX,0.17685501524076644,0.24820740378892533
BBY,0.3083455011096853,0.39350073782333955
BDX,0.13513350970821095,0.24761712551501186
BEN,0.005603335416110268,0.33772728247284445
BF-B,0.21861071966928516,0.2717539011736648
BIIB,0.08907042289362153,0.46386459011008613
BIO,0.3305597265196982,0.3194843375845993
BK,0.039720403756264025,0.30381513684182304
BKNG,0.166764908305524,0.3377734253242461
BKR,-0.021539296824183905,0.4413594667126416
BLK,0.21157113923521753,0.2996394141317424
BLL,0.2399887079177653,0.26440476146411995
BMY,0.07202803450653175,0.25991020138695137
BR,0.23464434225232114,0.2534618164661467
BRK-B,0.11810892790435487,0.22535649180098136
BSX,0.18428444444855568,0.3023359588907213
BWA,0.10812655084072999,0.3559375169115962
BXP,0.02435981868707258,0.3282134378999759
C,0.1228186140084941,0.38733613403731465
CAG,0.03401541468505966,0.3003016862114219
CAH,0.0038055808856905958,0.3395020031890804
CARR,1.3731907601371283,0.6072920536431589
CAT,0.2813540618689428,0.3241608164068573
CB,0.11150419415099984,0.28014537469023804
CBOE,0.11991793819486568,0.2855037893189845
CBRE,0.2784326411727396,0.3659674880033354
CCI,0.2103699358683698,0.2633390505381617
CCL,0.07181195109137087,0.6358586690809914
CDNS,0.4675059050126631,0.32592528666196485
CDW,0.3335176040798636,0.32439656610049633
CE,0.21285978346790438,0.33310811397796414
CERN,0.11778337339551939,0.25354005187900547
CF,0.2054704672390437,0.4182895057943991
CFG,0.1796055464522114,0.439941777703274
CHD,0.1809716267984933,0.23660656625934742
CHRW,0.11017956268073358,0.26045522540344535
CHTR,0.2269705439447542,0.2915225795893951
CI,0.16474343270564773,0.3438247693937387
CINF,0.14670851584630237,0.33704953083226263
CL,0.08099840505295137,0.21761535009217092
CLX,0.15158967760422815,0.23892105643288059
CMA,0.12641330060065648,0.4353073906252442
CMCSA,0.15920579197730866,0.2744686192992834
CME,0.20736245841842862,0.2859576642919548
CMG,0.39910514169793315,0.3869574920276507
CMI,0.21446083468586918,0.2913198946559084
CMS,0.11980666451012961,0.23072931118076973
CNC,0.23815234893011575,0.3745453517507683
CNP,0.036325722401122314,0.3268432518689754
COF,0.1756358285609515,0.41210555616012795
COG,0.03812951929123781,0.3715432272170756
COO,0.2302275917791431,0.2781279196504422
COP,0.1276737391744268,0.43354260990341836
COST,0.22620130394063245,0.22016143854991152
CPB,0.0018830099447817938,0.2806710695882303
CPRT,0.3755932712650696,0.30236289194256855
CRM,0.3302928385623335,0.3471003155987375
CSCO,0.1658877949034781,0.2839809035372079
CSX,0.2945200112957917,0.33147220437129377
CTAS,0.30843030600564436,0.3153102322910415
CTLT,0.41513801057104344,0.3676708311235778
CTSH,0.12038532081446908,0.30227053450147945
CTVA,0.3756026197873369,0.45901461199530774
CTXS,0.1914923212992127,0.26389391450784444
CVS,0.03436966973208647,0.29589893949084667
CVX,0.06611014479942871,0.3471788230587322
D,0.04890801321624314,0.2586436501939423
DAL,0.11608673653662571,0.45480759354824507
DD,0.04805059034500768,0.35271351690396274
DE,0.3621319365041867,0.32243878824913025
DFS,0.19369519827891263,0.4601725023852146
DG,0.26852446260010554,0.25633013244587943
DGX,0.110826284497562,0.26828211097419175
DHI,0.33119845515649493,0.3749072037891815
DHR,0.28041881267383,0.23484985878351114
DIS,0.1945634954075599,0.30029281819629927
DISCA,0.2298504608622116,0.38793275620448237
DISCK,0.1919492838932781,0.3787855852038039
DISH,-0.061847094912882955,0.42860889198064056
DLR,0.14718129043856903,0.2839771917792145
DLTR,0.11756378467476843,0.3438069483495218
DOV,0.23084987623586245,0.2928284388245376
DOW,0.2784972515664543,0.5029864203493346
DPZ,0.24757774704411595,0.3181856611775368
DRE,0.16725937657918413,0.2749678674197775
DRI,0.28324742337980124,0.4569402644756653
DTE,0.11164630893431733,0.2660415001221296
DUK,0.09545772682897724,0.23688732049747174
DVA,0.16530736815091726,0.33660240633801436
DVN,0.008139957323946038,0.5845871884112107
DXC,0.01618545496058736,0.576900624505307
DXCM,0.5976258866858246,0.5175278888473478
EA,0.1804676993778055,0.3266989363157264
EBAY,0.20364075080121352,0.28996564526118596
ECL,0.18661677338322652,0.27717927618869537
ED,0.038498336649005524,0.23981215926515792
EFX,0.1325120502254691,0.2998070262185413
EIX,0.022443763583718024,0.3240071493853323
EL,0.36957737931910783,0.2944022485133368
EMN,0.17093061298890705,0.3256936222699505
EMR,0.1824280140139118,0.3234630278819606
ENPH,1.606125402423519,0.869359158863345
EOG,0.00950303496741704,0.4601790458913252
EQIX,0.1996424577688481,0.27298843503480114
EQR,0.08021667489461362,0.2855897230265667
ES,0.15042517330395203,0.25849474532236977
ESS,0.09763769237890824,0.2894989516676838
ETN,0.3968717021636947,0.4567228352222378
ETR,0.119416138110744,0.26808365023190545
ETSY,0.8664832108597822,0.5728567916410202
EVRG,0.058705166241278445,0.2783014562707388
EW,0.2824468827196252,0.31960479369931255
EXC,0.09411989893745049,0.2782823904503979
EXPD,0.17456317539519764,0.2431054075119107
EXPE,0.1947207426577313,0.4414117629230657
EXR,0.1877695756210204,0.2616693340802849
F,0.09617888433244896,0.3581481674086468
FANG,0.10668818461439694,0.60498893837331
FAST,0.2387355367890106,0.30143511021160363
FB,0.24906309660778805,0.33912898320461626
FBHS,0.1812603841678424,0.3519948133225498
FCX,0.35837652034473366,0.5171902404472077
FDX,0.14633849255813727,0.3470302974966176
FE,0.10803307825835139,0.30560616859685596
FFIV,0.11003897836747596,0.29769997928830244
FIS,0.1892789177464991,0.27185199279291
FISV,0.2261928588386936,0.28686502390232177
FITB,0.18263356519065294,0.42206776771167653
FLIR,0.17314900987374313,0.35836052976856014
FLS,0.03538882961450279,0.4081598015646675
FLT,0.2173877690025111,0.34847236160125666
FMC,0.24636592856521547,0.341102259762413
FOX,-0.006957044868956857,0.4072695824209083
FOXA,0.034637364142382214,0.41749130276442364
FRC,0.23917208896266792,0.3183742907077974
FRT,0.01685324661470901,0.3671325208271606
FTNT,0.48967896950795453,0.38440230191930364
FTV,0.13779085910726674,0.28853802141338597
GD,0.039855254270594435,0.26110240426036985
GE,-0.09879168835199412,0.43564453753054705
GILD,0.025761107061086596,0.27663875494679363
GIS,0.03759447011612875,0.2387561663541805
GL,0.10983623978722722,0.29947734883463184
GLW,0.19231403224067914,0.33587304456360806
GM,0.20055603692038618,0.3858821436644219
GOOG,0.2690760617263134,0.27987581054639915
GOOGL,0.26059978710687254,0.27951571619455934
GPC,0.10037464509977917,0.3077315672319257
GPN,0.3074421032662318,0.337162702953175
GPS,0.21187446656036957,0.5670772836851322
GRMN,0.29368400127913247,0.263901538774598
GS,0.1384483165790564,0.32880479628965165
GWW,0.1881995729183578,0.3346431022119478
HAL,-0.05344810033875858,0.5374092472941675
HAS,0.1355395991291643,0.370303613362497
HBAN,0.1479212561509482,0.3834598191582882
HBI,0.09123933100744916,0.4643759339513805
HCA,0.2768641330228738,0.36810466041128237
HD,0.21774475310599736,0.26876240129198414
HES,0.15936371724229753,0.5050354569334674
HFC,0.1882962257538214,0.49972485267419325
HIG,0.1016465026366555,0.3559975014517188
HII,0.04823476981364274,0.3109205942551275
HLT,0.2471755789271556,0.3184701602160063
HOLX,0.18800723523763313,0.30279258249618285
HON,0.20036288522854218,0.26409948612641776
HPE,0.11571153001907297,0.36676959222122923
HPQ,0.2554504661215095,0.35592469690503364
HRL,0.11384771193049052,0.22772655656324245
HSIC,0.04895221741474207,0.30324108990207443
HST,0.07266991512457163,0.3921669866697367
HSY,0.13370717167247012,0.2350839531936214
HUM,0.2174631266669802,0.32544942335615795
HWM,0.2112344656782583,0.48618695494581926
IBM,0.0021557054834752923,0.2736534192211587
ICE,0.206043790257795,0.24283255937425435
IDXX,0.407368550244682,0.31077106733901017
IEX,0.22942128336098283,0.2565350055582734
IFF,0.10353610794786443,0.30485320566668156
ILMN,0.3623015235671798,0.3751233385705713
INCY,0.013773059868054296,0.39078341537467104
INFO,0.2616775515650205,0.2752501571193657
INTC,0.21369614789754018,0.3598347654674402
INTU,0.3535096729098006,0.31432517174329766
IP,0.0821206831080182,0.33467160378649596
IPG,0.13236604985887673,0.3598688148255357
IPGP,0.3035092947392661,0.4488293862852696
IQV,0.2710145283355574,0.3129106813496009
